AÑO DEPARTAMENTO POBLACION_5_16 TASA_MATRICULACIÓN_5_16 COBERTURA_NETA DESERCIÓN APROBACIÓN REPROBACIÓN REPITENCIA
2019 Antioquia 1149985 93,9956 938331 40247 883821 75932 31925
2019 Atlántico 533666 92,0877 917143 12646 929088 58266 10022
2019 Bogotá,_D.C. 1181531 96,8244 963015 15954 975008 9037 26207
2019 Bolívar 461988 99,5833 994729 30225 904663 65113 35917
2019 Boyacá 234368 96,6024 965123 20523 920224 59253 19244
2019 Caldas 161892 85,9777 858752 33115 890116 76769 36743
2019 Caquetá 98675 90,5234 90489 53201 926324 20475 25966
2019 Cauca 299016 84,4182 843905 27822 906533 65644 12951
2019 Cesar 296234 90,7664 905696 41137 890778 68085 1067
2019 Córdoba 387454 94,2424 941701 26441 936006 37553 34159
2019 Cundinamarca 570377 96,1445 958562 30209 91679 53002 17403
2019 Chocó 143999 82,6422 826374 28021 884569 8741 1076
2019 Huila 242194 94,2042 941163 44775 858552 96673 28401
2019 La_Guajira 245778 92,9221 928553 25121 932742 42137 35888
2019 Magdalena 323546 97,4909 972736 34953 936769 28279 15321
2019 Meta 218194 93,5938 935104 3972 909927 50353 10319
2019 Nariño 309763 83,9955 839535 14516 958522 26963 32265
2019 Norte_de_Santander 318252 92,2565 921883 32539 905538 61923 13678
2019 Quindio 8313 96,7749 967256 39361 881312 79327 10395
2019 Risaralda 156174 99,1381 988801 49934 88597 64096 11637
2019 Santander 405798 96,4251 962469 30248 895113 74639 1916
2019 Sucre 203411 95,9265 958763 30039 879057 90904 11662
2019 Tolima 251347 99,2003 990953 37041 898439 6452 7452
2019 Valle_del_Cauca 854243 81,68 814564 39151 888383 72466 11717
2019 Arauca 64095 93,0915 930619 40158 953138 6704 38195
2019 Casanare 93431 93,4551 934251 30101 901277 68622 19008
2019 Putumayo 8089 84,8337 848251 53888 85699 89121 18905
2019 Archipiélago_de_San_Andrés,_Providencia_y_Santa_Catalina 11002 91,9197 918742 20803 886364 92833 38596
2019 Amazonas 22435 81,4041 813951 41675 882338 75987 70705
2019 Guainía 15808 66,2639 662639 57006 786482 156511 73129
2019 Guaviare 21301 83,1088 830853 44669 880348 74983 16357
2019 Vaupés 15675 52,3254 523254 30407 900818 68775 37139
2019 Vichada 33198 55,5124 555094 76322 749228 17445 78248
